FamilyID	Skow<1>	Anja<2>	Arub<3>	Spur<4>	Ajap<5>	Blan<6>	Cint<7>	Ebur<8>	Cmil<9>	Cpla<10>	Leri<11>	Drer<12>	Sorb<13>	Lcha<14>	Pann<15>	Rbiv<16>	Gser<17>	Muni<18>	Pwal<19>	Bbom<20>	Xtro<21>	Xlae<22>	Sbom<23>	Bbuf<24>	Npar<25>	Rtem<26>	Oana<27>	Mdom<28>	Hsap<29>	Clup<30>	Ttru<31>	Emac<32>	Ctig<33>	Acar<34>	Tgut<35>	Ggal<36>	Amis<37>	Asin<38>	Ggan<39>	Cpor<40>	Psin<41>	Pmeg<42>	Tcar<43>	Cpic<44>	Cser<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>	<88>	<89>
OG0000068	0	3	-1	1	3	4	1	0	2	1	-1	3	2	-2	1	1	0	2	0	3	-3	10	-2	-1	-2	0	-3	-1	-2	10	-3	1	1	0	-1	0	0	3	-2	-2	2	-1	0	2	-1	0	3	2	1	0	3	1	4	3	0	0	0	4	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	-1	0	0	0	0	0	0
OG0000069	12	-1	4	1	-1	23	-6	0	-2	1	-2	1	3	0	1	1	-2	0	4	-1	-1	7	-1	-1	0	0	0	-1	-1	2	1	1	1	0	-1	-1	0	0	-1	0	0	0	2	2	-1	0	7	1	1	0	2	0	1	1	-1	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0
OG0000070	-7	-3	-4	4	47	-1	31	-3	-1	0	-1	7	-1	-2	3	0	0	0	2	6	-4	1	-1	3	4	2	2	-1	1	1	-1	1	0	0	-2	0	1	1	-1	-1	0	0	0	0	0	0	0	3	9	17	0	1	-2	0	-1	0	0	2	0	0	0	1	-1	0	2	6	0	-1	0	0	1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
OG0000071	-2	8	-6	4	1	27	-1	-1	0	0	0	0	0	8	-1	-1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	-3	-3	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000072	4	1	-2	3	3	7	0	-1	1	1	0	-1	1	-1	-1	0	0	-1	4	-1	-1	11	0	2	-1	-1	-1	1	0	3	0	0	1	2	0	0	0	1	0	0	1	-4	1	0	0	0	4	1	1	2	3	0	2	2	1	0	0	0	0	0	0	0	-1	0	0	0	0	2	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
OG0000073	0	-1	-1	1	2	2	-2	2	-1	4	0	3	5	0	-1	-1	-1	-1	3	1	0	13	-3	-2	0	1	-2	-4	0	4	-1	1	3	-5	-5	10	3	-2	-3	-3	-2	1	5	-2	-1	0	1	0	0	0	1	1	7	4	0	0	0	5	0	0	0	0	0	0	0	1	0	4	0	0	0	-1	0	0	1	0	-1	0	0	0	0	0	-2	0	0	0	0	0	0
OG0000074	0	3	-6	-1	16	-3	-2	3	-2	2	-4	13	-8	-3	12	-1	-4	-1	14	0	14	1	-6	3	6	-2	-3	-5	-1	4	-3	-2	-3	1	-3	-2	10	9	-7	-4	-1	2	-2	5	19	0	2	3	1	3	0	0	6	2	-1	0	1	1	0	1	0	2	-2	0	4	6	1	6	0	0	1	-1	-4	0	0	0	0	-2	0	0	0	-1	0	1	-1	3	2	0	0
OG0000075	-2	0	3	0	4	2	3	0	1	2	2	2	-1	-2	3	-1	0	0	4	0	-2	20	-2	-3	-3	0	-1	-3	-3	13	6	0	3	1	-1	0	-1	0	-3	-2	-1	-2	-1	2	-1	0	1	2	2	0	2	2	3	3	1	1	0	1	0	0	-1	0	-1	0	0	-1	0	3	-1	0	0	0	2	0	5	1	0	0	0	0	0	0	-2	0	0	0	0	0	0
OG0000076	1	5	-3	7	-4	3	-2	-1	-1	-2	-1	1	2	-1	4	1	-1	0	0	0	-2	13	1	-1	-4	1	-2	3	-1	9	-2	0	1	0	-2	-1	-2	2	-1	2	-1	1	-1	2	1	0	0	0	0	0	0	0	3	3	-2	0	2	3	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000078	8	0	2	1	0	5	-4	2	-1	3	0	3	3	0	0	-1	-1	0	1	-3	-3	23	3	4	-5	3	0	-3	-1	7	-1	2	0	-3	2	3	2	1	-2	-4	-4	1	1	-1	0	0	3	0	0	0	2	0	9	5	0	0	1	5	0	0	0	1	-1	0	1	8	2	5	0	0	0	-1	0	0	1	0	-1	-1	0	0	0	1	-1	0	0	0	0	0	0
