Desc	Orthogroup	Anas	Caug	Cqua	Cscu	Dapu	Dgal	Dmag	Dmel	Dpte	Dpul	Dsil	Dste	Eaff	Ebro	Gmae	Hame	Hazt	Hexe	Hhol	Iele	Lpol	Nstr	Pcau	Pchi	Pcla	Popi	Ppac	Ppol	Psam	Ptep	Rimm	Rvar	Smar	Tcal	Tcas	Tqin	Tuco	Znev
(null)	OG0000084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0000085	3	15	10	11	5	4	6	6	6	6	6	8	9	21	10	5	7	7	7	8	20	5	16	7	6	4	5	9	19	10	21	6	9	6	6	7	13	4
(null)	OG0000086	10	19	13	20	11	9	13	9	11	11	12	11	21	15	14	9	12	6	11	12	38	7	6	10	12	8	7	14	14	16	13	9	9	13	11	12	8	11
(null)	OG0000087	20	4	12	9	21	14	14	8	7	30	17	7	10	29	3	17	10	10	45	4	7	8	5	5	37	24	8	26	11	30	6	2	3	7	12	6	9	3
(null)	OG0000088	13	15	30	13	11	15	12	17	7	8	4	11	23	15	13	23	8	11	38	6	19	5	16	27	21	12	3	11	14	17	25	13	9	16	11	30	9	10
(null)	OG0000089	3	7	13	6	5	5	6	4	3	5	2	6	82	70	2	9	10	4	5	3	17	1	19	9	11	5	12	15	33	7	5	5	3	67	3	12	5	3
(null)	OG0000090	4	5	5	4	17	8	4	2	2	12	3	3	17	11	7	10	6	2	9	5	9	4	17	6	8	8	9	5	11	7	6	9	3	8	8	12	23	4
(null)	OG0000091	6	13	9	15	14	13	14	6	6	12	8	11	5	18	14	11	6	7	11	8	35	3	13	13	14	12	1	16	12	14	15	8	13	3	9	9	12	9
(null)	OG0000092	17	21	16	49	30	19	30	25	9	36	26	0	1	9	18	5	4	1	41	7	8	2	3	5	3	45	28	8	15	25	18	1	9	2	32	21	7	23
(null)	OG0000093	8	18	12	2	5	3	4	3	2	4	11	9	9	3	3	21	4	9	2	3	4	5	3	13	37	0	0	6	6	5	9	13	9	6	3	1	2	6
(null)	OG0000094	3	17	16	25	9	6	7	5	9	6	15	4	14	14	14	11	12	9	12	9	47	13	10	17	14	12	3	14	10	19	11	9	11	9	11	9	11	9
(null)	OG0000095	57	17	27	7	7	6	7	14	3	6	18	18	5	32	18	20	13	1	36	16	6	6	9	19	19	26	4	17	24	42	34	4	23	7	16	31	16	9
(null)	OG0000097	1	1	1	3	1	2	1	2	1	1	1	1	8	3	1	2	1	1	2	1	2	2	8	1	1	0	6	3	15	4	2	3	1	2	1	3	7	1
(null)	OG0000098	25	19	23	37	9	10	16	18	7	11	13	8	18	13	20	23	8	14	17	14	13	11	15	25	13	32	12	18	18	51	18	10	5	10	28	13	12	14
(null)	OG0000099	6	6	27	7	10	5	7	8	6	6	3	9	13	16	10	50	9	2	8	7	12	4	7	71	45	3	4	5	6	6	10	4	7	8	6	7	3	4
(null)	OG0000100	13	24	20	22	24	20	29	16	14	24	32	19	22	23	16	28	16	21	31	18	28	9	13	23	16	18	13	39	7	14	34	15	11	14	23	19	12	13
(null)	OG0000101	9	9	15	14	9	8	8	6	3	10	9	6	10	13	8	11	9	5	10	13	31	3	13	12	11	11	4	12	9	9	9	8	9	7	12	10	16	9
(null)	OG0000102	6	6	8	6	13	7	12	7	15	10	48	9	8	10	21	7	11	1	31	3	13	33	17	10	8	3	21	7	35	3	25	4	12	8	4	6	30	4
(null)	OG0000103	9	10	10	7	7	7	8	10	12	11	10	18	14	10	29	13	32	14	18	4	7	12	7	17	15	0	14	10	36	10	15	6	7	9	11	20	9	6
(null)	OG0000104	9	25	9	31	9	12	12	2	1	15	32	16	17	26	6	9	15	21	12	3	7	9	1	11	13	0	17	14	21	14	27	13	9	12	8	2	9	2
(null)	OG0000105	20	28	20	6	17	12	14	10	7	19	21	6	20	15	9	7	14	5	12	12	11	8	9	17	15	1	16	16	28	15	30	4	11	13	21	40	13	13
(null)	OG0000106	10	57	12	16	3	3	4	10	9	6	53	15	6	22	7	6	7	5	6	4	11	21	10	8	6	9	11	4	38	14	30	4	9	5	11	12	16	4
(null)	OG0000107	2	1	5	7	44	41	33	7	0	45	3	18	21	1	2	20	5	6	0	16	17	3	1	51	9	8	0	11	16	8	3	21	0	15	3	7	3	2
(null)	OG0000108	11	9	17	5	7	5	6	5	4	8	7	11	21	5	8	23	15	3	5	6	9	11	11	13	21	7	8	17	15	10	15	3	4	12	4	4	12	13
(null)	OG0000110	0	61	0	12	1	16	30	0	0	16	98	3	1	1	4	0	1	0	1	7	3	5	28	0	0	97	1	1	0	15	41	0	9	7	9	6	0	0
(null)	OG0000111	2	13	8	15	8	6	7	8	7	8	8	5	11	15	8	4	7	5	10	6	34	5	6	8	9	8	8	11	4	9	7	6	6	10	6	3	10	9
(null)	OG0000112	4	6	8	12	0	0	1	4	2	0	8	11	13	8	11	12	16	2	9	2	17	17	14	9	10	5	4	9	12	8	16	6	2	6	6	3	49	12
(null)	OG0000113	14	16	12	16	14	12	12	8	6	18	10	10	16	9	15	13	7	10	10	8	15	12	8	10	10	8	7	9	19	8	15	3	11	8	7	6	7	6
(null)	OG0000114	1	0	7	1	10	9	8	1	0	11	1	3	9	8	4	4	1	28	5	8	3	2	4	5	7	0	41	3	62	2	12	21	1	8	7	37	3	2
(null)	OG0000115	10	11	17	17	10	10	11	8	10	11	11	7	39	0	21	11	13	0	20	5	29	0	0	15	14	0	32	26	55	18	18	0	12	36	9	22	0	5
(null)	OG0000116	5	7	10	13	3	3	4	7	6	3	24	4	7	8	13	6	8	12	6	5	21	17	24	12	9	6	6	8	23	11	14	20	7	5	3	8	28	5
