Desc	Orthogroup	Acal	Aful	Aric	Aste	Bcal	Bgla	Bner	Cgig	Ctel	Cuni	Dcar	Dgyr	Dpol	Eand	Echl	Gaeg	Gmag	Hhan	Hman	Hmed	Hrob	Hrub	Lana	Lgig	Llon	Lluy	Mcal	Mcor	Mlig	Mmer	Mvul	Myes	Obim	Oida	Paus	Pcro	Pech	Pesc	Ppel	Rota	Rsoc	Rsor	Smed	Spha
(null)	OG0000180	8	8	12	15	9	8	7	9	9	11	13	4	11	16	7	13	12	10	5	4	7	10	7	7	15	6	15	12	24	14	11	7	5	17	7	11	5	15	9	15	9	14	11	5
(null)	OG0000181	4	3	23	26	6	4	4	6	3	6	19	2	5	5	4	6	5	11	5	6	2	7	8	4	21	3	5	5	15	5	15	4	6	9	6	9	0	13	10	28	24	27	14	5
(null)	OG0000182	6	7	23	18	8	8	2	9	5	8	15	3	8	17	6	9	7	13	8	4	9	7	10	7	13	8	9	9	3	9	24	6	5	20	6	3	8	7	16	26	18	27	7	4
(null)	OG0000183	0	0	0	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	3	4	0	1	2	1	0	0	0	2	0	0	0	0	0	3	2	0	0	0	0	0	0
(null)	OG0000184	4	4	18	13	13	4	7	5	4	9	8	4	4	10	4	4	6	9	4	5	8	5	7	5	14	5	4	4	24	5	18	4	7	18	5	6	5	4	10	18	12	17	14	7
(null)	OG0000185	6	8	18	15	9	7	12	10	6	10	11	6	8	15	8	7	6	16	8	7	10	6	14	7	16	8	9	6	22	8	18	11	6	11	6	8	8	14	5	19	14	16	17	3
(null)	OG0000186	6	5	10	11	4	5	4	3	4	6	9	4	5	8	3	3	4	7	9	5	8	6	4	4	9	3	6	4	13	4	13	3	6	9	5	5	2	4	11	12	9	11	8	2
(null)	OG0000187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0
(null)	OG0000188	27	13	3	1	1	5	29	12	31	13	7	3	9	3	13	10	34	27	2	1	0	82	27	13	14	5	12	33	0	32	7	14	3	36	14	2	6	24	28	4	1	2	0	4
(null)	OG0000189	2	3	1	2	0	2	18	2	2	4	1	5	4	17	2	2	3	2	12	9	26	4	9	2	8	4	3	5	27	2	29	2	2	4	14	1	2	5	3	2	1	1	8	2
(null)	OG0000191	17	21	6	7	3	11	3	11	1	31	2	1	37	10	18	17	9	3	5	5	5	13	1	12	5	1	16	20	5	18	16	8	10	44	1	1	1	2	18	7	4	6	3	1
