FamilyID	TaxonID	Count	Change	Pvalue
OG0000019	58	19	0	0.746083
OG0000019	59	19	0	0.780768
OG0000019	71	19	0	0.740916
OG0000019	74	18	0	0.762029
OG0000019	75	18	0	0.87732
OG0000019	Ppol	26	7	0.0461255
OG0000019	66	19	0	0.711597
OG0000019	Tcal	17	-2	0.576937
OG0000019	61	19	0	0.800664
OG0000019	65	19	0	0.844094
OG0000019	63	19	0	0.797642
OG0000019	Cqua	21	2	0.421528
OG0000019	64	19	0	0.849281
OG0000019	Pchi	19	0	0.931438
OG0000019	68	18	-1	0.787712
OG0000019	Pcla	22	3	0.247736
OG0000019	67	19	0	0.740916
OG0000019	70	18	0	0.716979
OG0000019	Dapu	20	2	0.401777
OG0000019	Dpul	20	2	0.401777
OG0000019	73	18	-1	0.64645
OG0000019	Iele	21	3	0.305083
OG0000019	Dmel	19	1	0.678339
OG0000020	Ptep	22	2	0.51706
OG0000020	Ebro	23	10	0.00269232
OG0000020	47	16	1	0.182145
OG0000020	40	10	2	0.0640399
OG0000020	Tuco	13	3	0.192321
OG0000020	Pcau	15	5	0.0599414
OG0000020	46	15	2	0.0939716
OG0000020	Nstr	13	-3	0.393428
OG0000020	52	18	-1	0.516225
OG0000020	49	19	0	0.658322
OG0000020	Caug	21	7	0.0213852
OG0000020	41	11	3	0.000478907
OG0000020	42	17	6	0.0351939
OG0000020	Psam	30	13	0.00256887
OG0000020	Ppac	16	-1	0.947708
OG0000020	Anas	10	-6	0.0271733
OG0000020	60	16	0	0.880789
OG0000020	Popi	16	-3	0.418873
OG0000020	Dpte	10	-8	0.00893614
OG0000020	43	11	0	0.560182
OG0000020	48	19	3	0.0525344
OG0000020	44	8	-3	0.303629
OG0000020	Hexe	7	-1	0.922669
OG0000020	Rvar	5	-3	0.287939
OG0000020	45	13	2	0.0119598
OG0000020	Lpol	39	20	2.6259e-06
OG0000020	50	20	1	0.25663
OG0000020	54	15	0	0.774562
OG0000020	Cscu	32	12	0.0017308
OG0000020	Dsil	18	0	0.939026
OG0000020	57	15	0	0.830158
OG0000020	Dste	21	6	0.0637364
OG0000020	Eaff	18	2	0.433588
OG0000020	Znev	11	-1	0.766658
OG0000020	62	16	-1	0.684753
OG0000020	53	15	0	0.66876
OG0000020	55	15	0	0.859197
OG0000020	Smar	14	-1	0.801896
OG0000020	51	19	0	0.735532
OG0000020	56	15	0	0.820005
OG0000020	Hhol	11	-4	0.217913
OG0000020	Gmae	17	2	0.457361
OG0000020	Rimm	17	2	0.452769
OG0000020	Tcas	10	-1	0.747271
OG0000020	Hazt	20	4	0.12787
OG0000020	Dmag	13	-1	0.754777
OG0000020	69	14	0	0.706027
OG0000020	Dgal	12	-2	0.46262
OG0000020	Tqin	9	-5	0.0736359
OG0000020	Hame	15	-1	0.77113
OG0000020	72	14	0	0.64029
OG0000020	58	15	0	0.71499
OG0000020	59	16	1	0.197142
OG0000020	71	14	0	0.700976
OG0000020	74	12	0	0.70885
OG0000020	75	11	-1	0.575233
OG0000020	Ppol	37	20	8.31568e-07
OG0000020	66	16	0	0.689586
OG0000020	Tcal	14	-2	0.542315
