FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0000049	8	-1	26	-4	9	-3	-2	-1	0	-1	0	0	0	0	0	2	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	-1	0	0	0	0	0	0	0	8	0	1	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0
OG0000050	8	0	0	0	0	0	-1	-1	-1	-1	-1	0	-1	0	0	1	0	0	2	1	1	2	-1	-2	2	-4	17	0	-1	-6	2	24	-1	-1	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	-1	1	1	1	0	7	1	3	-2	0	0	-1	0
OG0000051	17	-1	3	0	-3	2	-2	4	17	2	8	2	-5	-3	-3	6	4	0	-1	8	1	4	4	-13	4	10	-2	0	2	-5	3	2	-3	22	-6	-6	-1	1	0	3	2	2	0	0	1	7	2	3	0	1	0	-1	0	0	0	1	1	0	2	3	1	2	-1	3	2	0	0	0	0	0	0	0	-5	0	0
OG0000052	-1	0	1	-1	0	0	0	-2	0	-3	59	-1	-1	-1	14	14	-1	-1	-1	0	-2	0	2	0	0	-1	0	0	0	2	0	1	12	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	1	-1	0	0	0	11	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1
OG0000053	11	1	27	-10	-1	0	9	-4	13	5	14	-7	-6	0	-5	9	-3	5	28	0	-3	1	-1	-4	10	-1	0	-3	5	-4	0	8	-7	11	-5	2	-1	-1	0	2	2	4	0	0	0	1	0	1	0	2	-1	0	0	0	0	0	0	0	0	-2	0	-1	-1	0	0	0	0	7	0	0	0	0	-3	0	-1
OG0000054	2	5	7	-5	-3	2	41	-3	18	1	7	0	-8	-2	-5	11	-2	2	-3	4	-5	8	-4	5	-2	0	-1	4	1	-1	0	2	-3	0	3	-2	0	-4	0	2	3	1	1	-1	2	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	-2	-1	-1
OG0000055	2	4	1	-3	1	1	3	1	24	2	1	0	-5	-1	0	0	-1	1	-2	7	-2	1	-2	-1	9	1	0	-1	-2	-1	1	1	-3	1	0	-1	0	-2	0	1	1	-1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	-1	0	0
OG0000056	-2	6	3	-5	-3	-1	56	-1	19	3	15	-12	-9	3	-3	26	-3	7	6	9	-2	1	0	0	0	0	-2	-2	0	-2	0	4	-4	1	-1	-2	0	-2	0	1	2	-3	1	-3	4	1	0	1	0	2	-1	0	0	2	4	0	-3	-2	0	2	0	-1	0	-1	0	0	-2	-1	0	0	-1	0	-2	0	0
OG0000059	0	3	5	0	0	0	2	-1	0	-1	0	1	-1	3	0	0	1	0	-1	0	0	0	0	-1	2	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000062	2	0	29	-8	-1	0	6	3	6	3	9	-2	-4	-1	-1	1	-2	1	-3	9	-1	6	-2	-1	-2	-1	1	2	0	1	0	1	-2	0	1	-1	-1	0	0	0	0	4	0	-2	0	0	1	0	0	1	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG0000064	2	2	0	-3	4	0	8	-9	30	2	5	-11	-1	1	-1	7	3	-3	-6	5	2	4	1	-4	9	1	1	0	1	-2	-1	4	-3	-1	2	2	0	-2	0	0	1	-2	0	2	1	1	0	2	0	0	-1	0	0	0	1	0	0	1	2	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0
OG0000066	-3	-3	22	4	-4	1	3	-10	-9	11	24	18	-18	33	-2	-3	-1	-4	3	-5	1	27	-5	-9	-3	9	-10	11	-5	1	-1	0	4	48	-6	-6	27	-3	0	-2	5	17	0	-3	1	3	1	10	3	4	1	0	0	-1	-1	0	4	1	0	-2	0	-6	-3	1	1	0	1	-10	0	0	4	1	0	1	5
OG0000067	0	3	3	-4	-1	7	-3	2	-5	9	8	14	-5	-2	-7	27	-5	-1	-5	-1	-1	-2	5	1	-1	-1	-1	2	44	0	-23	18	-8	47	28	-5	-1	-5	0	0	0	-2	0	3	0	0	0	1	0	2	0	-2	0	0	1	-1	0	0	-2	-3	0	0	1	-2	0	0	4	20	0	0	0	1	0	-3	-3
OG0000068	0	3	6	-2	-2	0	2	1	11	3	6	-1	-4	-1	-1	6	3	0	-1	-1	-1	4	-1	-3	1	-1	3	0	-1	-1	-1	1	0	1	0	0	-1	-1	0	1	1	3	0	-2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1
OG0000069	7	4	25	2	0	-2	2	-3	29	5	2	-7	-5	-2	-1	4	4	1	-4	6	2	11	1	-7	0	-3	2	5	-4	-2	0	6	-2	5	1	-1	1	-2	0	3	3	15	0	-3	1	2	0	0	0	0	-1	-1	0	0	0	0	1	0	2	3	1	-1	-1	1	1	0	0	-1	0	0	0	0	-1	0	-1
OG0000070	-1	8	14	-3	1	4	1	-8	7	-3	4	3	-10	12	-7	7	0	-2	-4	2	-4	1	11	3	6	-8	3	0	-4	-4	33	19	-1	11	-3	-2	0	-1	0	1	2	6	0	4	0	0	0	2	0	0	0	0	0	0	0	0	2	2	1	-1	2	6	1	0	-1	0	0	36	5	6	-1	0	-9	0	0
OG0000071	-5	1	42	-8	-3	4	-3	9	-4	12	-4	0	-2	-3	12	8	-4	-1	9	7	-6	-1	-1	-3	-1	56	-2	-2	23	-1	-20	25	-6	36	-3	-3	2	-1	0	0	0	10	0	-1	0	1	0	-2	0	0	0	-1	1	0	6	-1	0	0	-1	0	-1	-2	0	0	0	-1	0	16	0	0	0	0	-4	0	0
OG0000072	15	1	12	-4	1	3	21	-2	10	4	2	-10	-1	-1	-3	1	-2	8	-3	5	0	7	1	-3	0	0	0	0	0	0	0	-1	-1	2	-1	-2	-3	3	0	4	2	3	0	3	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	2	0	-1	0	0	0	0	0	-3	0	0	0	0	0	0	0
OG0000073	1	3	3	-2	-3	3	4	-6	30	4	11	-12	-3	-2	3	0	-2	1	-2	3	4	2	0	-2	0	3	-1	4	-1	1	-2	0	-5	2	-1	1	0	-1	0	1	1	0	0	-1	1	2	0	2	0	1	-1	0	0	0	1	0	0	0	2	2	1	2	0	1	1	0	0	0	0	0	0	0	0	0	-1
OG0000074	7	10	0	-3	1	-2	13	-3	8	-1	9	-3	-9	2	-9	30	5	4	6	2	-7	42	-11	5	-6	4	9	1	-3	-2	1	2	1	-3	-2	-1	-2	0	0	4	0	-5	0	-2	2	2	0	1	0	0	0	0	1	2	2	1	0	0	1	-2	4	1	-1	1	4	0	-2	-2	0	0	-1	-1	-4	0	0
OG0000075	7	3	3	-1	-2	6	3	-4	14	3	1	-3	-5	-2	1	5	2	-2	-6	14	-4	3	5	-2	-2	-1	-1	1	-1	-1	-1	2	-2	14	0	0	-2	1	0	2	2	0	0	2	0	1	0	1	0	0	0	-1	0	0	1	0	0	0	0	2	0	0	0	-1	0	0	0	-3	0	0	0	0	0	0	-1
OG0000076	0	-1	9	-4	1	0	-2	-4	6	9	4	5	-7	4	-1	1	10	-2	-2	4	-2	9	12	-10	7	-5	-3	1	-4	0	1	8	-7	10	0	-3	-3	3	0	0	1	2	0	1	1	3	0	3	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	-1	0	0	5	1	1	0	0	-2	0	0
OG0000078	3	-3	3	-2	-2	-1	8	-7	13	5	4	-1	-4	-2	1	1	6	3	2	-1	-2	2	1	-3	3	-1	0	1	-2	0	0	1	-2	1	1	0	2	-1	0	0	1	1	0	-2	1	0	0	2	0	0	0	-1	0	1	0	1	-1	0	0	-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
