FamilyID	Bcal<1>	Aric<2>	Aste<3>	Dcar<4>	Rsoc<5>	Rsor<6>	Rota<7>	Mlig<8>	Smed<9>	Pcro<10>	Bner<11>	Paus<12>	Lana<13>	Llon<14>	Pesc<15>	Dgyr<16>	Pech<17>	Lluy<18>	Ctel<19>	Eand<20>	Mvul<21>	Hrob<22>	Hman<23>	Hmed<24>	Hhan<25>	Obim<26>	Spha<27>	Mmer<28>	Dpol<29>	Mcal<30>	Cgig<31>	Myes<32>	Lgig<33>	Ppel<34>	Hrub<35>	Gaeg<36>	Gmag<37>	Mcor<38>	Acal<39>	Echl<40>	Bgla<41>	Aful<42>	Cuni<43>	Oida<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>
OG0000066	4	1	13	1	-21	20	25	-2	8	-3	18	-7	18	-4	37	-11	-3	-1	4	-3	0	0	-2	-2	60	-1	-2	-1	-3	-1	1	-2	-7	-3	29	-20	11	6	2	-9	8	2	-5	6	0	10	20	0	0	2	2	2	0	0	4	2	0	0	0	-1	-3	-1	-1	0	-2	-1	-1	-2	5	0	-2	0	-1	-1	-1	0	0	-4	1	3	0	2	0	0	1	1	0
OG0000068	-3	6	3	-4	1	1	10	20	4	-1	-4	-1	1	16	4	-1	-3	-3	-2	1	13	-2	-2	-1	11	1	-6	2	2	-2	0	-2	-3	8	0	-2	0	-2	-2	1	1	-3	2	6	0	3	12	0	0	2	0	4	9	0	1	0	0	0	0	0	0	0	-3	0	1	4	-1	-1	1	0	-3	0	0	1	-1	0	0	1	0	0	0	0	0	0	0	1	0
OG0000069	-1	3	10	-3	1	3	6	2	4	-2	4	0	-2	11	-4	-5	-8	2	-1	9	36	0	-4	-4	14	0	-4	1	2	0	-3	0	0	-2	-1	-2	4	0	-3	-2	1	-1	-2	11	0	4	15	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	-2	2	5	14	-2	-3	0	0	-2	0	0	1	-1	0	0	-1	0	0	0	1	1	0	1	1	1
OG0000070	0	2	7	-5	-6	9	9	-5	-6	12	7	-10	33	-8	21	-17	-9	22	53	-3	9	-5	-4	-4	19	-5	-9	38	-2	-5	-10	21	-4	-6	15	-1	-1	2	1	-3	-2	-3	-2	9	0	3	11	0	0	1	1	2	-1	1	6	2	1	1	0	2	0	1	3	1	-4	1	-10	-3	3	0	-11	2	5	8	0	1	0	-4	0	3	0	1	0	0	0	1	1
OG0000072	-3	5	6	-5	-1	3	4	8	0	2	6	-3	2	10	1	-5	-2	2	3	3	6	0	-2	-3	26	-4	-6	-4	0	-2	-2	-1	-1	6	14	-7	12	-9	1	-8	-6	3	-4	44	0	1	9	0	0	1	0	4	4	0	3	0	0	1	1	0	0	0	0	1	1	3	-2	-2	2	0	-4	0	-2	-1	-2	0	4	2	0	6	0	-1	2	0	1	8	3
OG0000073	-3	1	1	5	3	-2	3	12	-1	-2	-2	-1	1	4	-2	-4	-2	0	-6	8	31	5	0	-5	2	-1	0	0	0	-1	-1	-1	0	5	1	1	1	0	-1	-2	-2	-1	2	6	0	0	7	0	0	0	0	1	2	-1	0	0	0	0	0	1	0	1	0	2	7	12	0	-2	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	0	0	0	1	1
OG0000074	-1	-1	1	-3	-2	-2	3	6	-6	4	0	-1	3	-3	3	-11	3	9	0	1	7	-1	-9	2	19	-3	-6	4	24	2	-2	-9	0	6	9	-7	4	4	-1	-2	-8	-6	-2	20	0	-2	-2	0	0	0	0	3	1	0	3	0	0	1	0	1	0	1	5	0	0	2	-2	-2	3	0	-4	1	1	8	-3	-1	0	1	0	2	0	-1	-2	0	0	1	1
OG0000075	3	4	8	-1	1	-4	9	18	9	-5	-3	-3	1	17	9	-7	-4	0	-7	9	12	2	0	-7	3	4	1	2	-1	2	-5	-2	1	3	-4	3	-2	-2	-1	-2	-1	-1	0	11	0	6	10	0	0	1	0	3	9	0	0	0	0	0	1	0	0	0	-2	1	3	7	-1	-2	0	0	2	-1	0	0	-1	0	0	1	0	-1	0	0	0	0	0	1	1
OG0000076	1	-1	11	-1	-3	-6	16	9	4	-5	-5	-1	-1	3	-2	-8	-5	4	-3	2	27	2	-1	-4	17	1	-10	-2	9	10	1	-5	-5	7	8	1	0	0	-4	-5	-1	0	3	7	0	4	10	0	0	1	0	1	2	-1	1	-1	0	1	0	0	0	1	-1	1	3	7	0	-2	4	0	-4	1	2	2	1	0	1	0	0	2	0	0	-1	0	1	2	1
OG0000078	-1	1	1	-1	0	1	-1	-5	0	2	0	0	1	5	3	-7	-2	4	1	4	14	-2	-1	-4	2	0	1	-3	1	1	0	-1	-2	3	2	-3	7	-1	-3	-1	-1	3	-5	15	0	-1	0	0	0	0	0	1	-1	0	2	0	0	1	0	0	0	0	1	0	1	5	-2	-2	1	0	0	0	-1	0	0	0	0	0	0	2	0	0	0	0	0	2	0
OG0000079	-1	1	7	-7	-2	3	6	0	15	0	7	-1	3	14	-1	-3	-2	4	1	4	5	-3	-1	-2	5	3	-5	5	-2	2	1	-5	-4	5	1	-2	4	0	-1	-1	-1	-4	-2	13	0	1	5	0	0	1	0	4	6	3	2	0	0	0	0	-1	0	0	0	0	0	2	-3	-1	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
OG0000080	-2	-5	-2	14	-7	-1	19	0	0	-3	-7	-1	14	-4	2	-6	20	2	-7	8	2	1	3	-4	12	1	-6	-2	5	11	-3	-3	-1	0	-1	-1	-1	9	-2	-10	16	-5	-5	27	0	1	6	0	0	0	0	0	-1	0	1	0	0	0	0	1	0	2	8	0	2	3	0	0	1	0	-2	0	0	0	0	-1	1	0	0	0	0	4	1	1	3	2	1
OG0000081	-3	0	22	-14	-7	10	19	0	15	-5	-8	1	5	17	30	-7	-4	4	-5	-4	7	-3	6	-2	22	0	-3	-2	0	-2	0	-4	-1	8	-2	-3	3	-2	-1	-1	-3	-8	1	38	0	2	13	1	0	2	1	2	3	2	1	0	0	1	1	0	-1	0	-1	0	0	0	-1	1	1	0	-2	0	-1	0	-1	0	1	2	0	-1	0	2	2	1	1	5	4
OG0000083	0	3	5	-6	-2	-1	5	-1	-4	3	7	-10	5	-1	29	-13	24	4	12	-5	5	-3	-4	-4	-4	-2	-6	2	-3	5	21	-9	1	13	-2	3	8	4	0	-7	-5	-8	1	16	0	1	2	0	0	0	0	1	-1	0	3	0	0	1	1	3	0	1	10	-1	-3	0	-6	-4	1	0	-4	3	1	-1	2	0	3	3	0	2	0	-1	-2	-1	0	1	1
OG0000085	-3	-4	-1	1	5	0	0	7	1	-3	9	-1	2	7	-4	-5	-2	2	2	2	9	4	-1	-3	12	1	-3	-1	-1	-3	0	-3	-1	7	0	-2	0	-5	2	-2	-2	0	-1	5	0	0	1	0	0	0	0	2	2	0	1	1	0	0	0	0	0	1	0	1	2	3	0	-2	0	0	0	0	-2	0	-2	0	0	2	0	-1	0	0	1	0	0	1	0
OG0000086	-1	4	2	1	2	2	3	-3	6	1	-6	-1	0	7	0	-4	-5	2	-2	2	20	4	3	-7	1	2	-3	0	2	1	0	-3	-2	2	5	-4	8	3	-5	-1	-1	-1	0	12	0	2	8	0	0	1	0	1	2	2	0	0	0	1	1	1	0	1	-1	1	3	5	0	-1	0	0	-1	0	0	0	-1	0	0	0	0	2	0	0	0	0	0	1	1
OG0000087	2	15	16	-8	-4	5	8	-4	18	7	-5	1	4	3	1	-9	-1	1	-1	15	3	-4	9	-6	42	-2	-6	8	5	4	-1	-4	-1	1	5	-3	1	-4	2	-7	2	-1	-2	12	0	8	18	1	0	1	0	2	8	6	0	0	0	0	0	0	0	0	0	0	1	4	-1	0	2	0	-6	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0
OG0000088	-4	3	3	-2	-3	0	4	-2	-2	2	-2	9	8	7	-5	-5	0	-3	-4	11	10	-1	3	-4	5	-1	-6	12	14	-2	5	-2	-2	6	5	-7	5	-3	-1	-3	-3	-6	1	18	0	-1	2	0	0	0	0	1	-1	0	5	1	1	0	0	-1	0	0	-1	1	3	6	0	0	3	0	-4	2	5	7	0	0	-1	1	0	0	0	-3	-1	0	0	1	2
OG0000090	-5	-3	9	7	-4	0	8	2	6	-3	-2	-1	4	14	1	1	-5	2	-8	1	11	11	0	-6	-3	4	-1	-3	5	3	-3	-2	-1	1	-1	1	1	0	-2	0	-1	-2	1	-1	0	0	8	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	-1	0	4	3	2	-2	-2	0	1	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0
OG0000091	-3	2	-1	-1	-2	0	2	-5	1	2	-1	0	6	9	0	-4	-3	5	-3	4	21	1	2	-6	1	3	-4	0	2	0	-1	-1	-1	4	-2	0	2	2	-2	-4	-5	-3	1	28	0	-1	2	0	0	0	0	1	-1	0	3	0	0	1	1	0	0	1	0	1	3	6	-1	-2	1	0	-1	0	0	0	0	0	0	0	0	-1	0	1	1	0	1	5	2
OG0000092	-3	6	-1	3	-9	10	21	-2	-7	4	3	-6	0	3	26	-4	-4	-2	-1	2	8	-5	1	2	65	-3	-6	19	-4	4	-5	5	-4	-2	8	-5	8	4	-1	-5	1	-1	-3	1	0	3	15	0	0	2	1	0	-2	0	2	0	0	1	0	0	-1	-1	-6	0	0	2	-2	0	4	0	-5	0	2	3	1	0	-2	-2	0	3	0	-2	-4	0	0	0	0
OG0000094	1	2	1	-2	-3	-1	3	-8	9	0	-5	-3	9	10	-1	-8	-6	5	3	1	19	-1	-2	-5	6	5	-5	3	0	2	8	-6	-5	5	-3	-2	5	5	-3	-4	-6	0	4	16	0	0	0	0	0	0	0	1	-1	2	1	0	0	1	0	-1	0	0	-1	1	1	4	-2	-2	5	0	0	1	1	1	1	0	1	0	0	0	0	2	0	0	1	4	2
OG0000095	-2	7	8	-11	-5	11	5	9	-12	20	-3	-5	3	-11	31	-11	-13	17	37	21	1	-7	-2	-9	66	-5	-8	7	1	-4	-6	9	-8	-1	27	-15	18	-4	0	9	-14	-7	-1	29	0	0	5	0	0	1	0	4	4	0	2	-1	0	3	1	4	0	1	0	2	-1	6	-9	-4	5	-1	-8	0	1	2	0	0	0	-3	1	8	0	0	0	0	0	2	2
